Date,Predicted_Energy_Surplus
2020-01-01,0.001097421084567532
2020-01-02,0.0006745423132534325
2020-01-03,8.383801532685756e-05
2020-01-04,0.00041605915421642363
2020-01-05,0.000772804307186082
2020-01-06,0.0005452575807497651
2020-01-07,0.0006226671316546202
2020-01-08,0.0007855069349732995
2020-01-09,0.0002948211300874501
2020-01-10,0.00029006946858517826
2020-01-11,0.0001574599999552965
2020-01-12,0.0006005297653406113
2020-01-13,0.000678917910874337
2020-01-14,0.0004004552649307251
2020-01-15,0.0004412262053127587
2020-01-16,0.00045287520981423564
2020-01-17,0.00028138156438827514
2020-01-18,0.0004528084665305167
2020-01-19,0.0009421366209658237
2020-01-20,0.00107676426840581
2020-01-21,0.0006054823471418022
2020-01-22,0.0009300240958663821
2020-01-23,0.0007897904728925228
2020-01-24,0.0005275351675791294
2020-01-25,0.0006770371311689913
2020-01-26,0.0011001490436775986
2020-01-27,0.0008456739339025318
2020-01-28,0.0008902773196655512
2020-01-29,0.001030662380848676
2020-01-30,0.0008888536163790524
2020-01-31,0.000573980437823534
2020-02-01,0.0007574722241695971
2020-02-02,0.000642023604530096
2020-02-03,0.0008456260628576576
2020-02-04,0.0005760623679770529
2020-02-05,0.0004509730262282491
2020-02-06,0.0007050283437636495
2020-02-07,0.0004588754310205579
2020-02-08,0.0005521404243459553
2020-02-09,0.0007255408563429862
2020-02-10,0.0006501658248452843
2020-02-11,0.00023626816787794232
2020-02-12,0.00030540500384047624
2020-02-13,0.00022059546396523716
2020-02-14,0.00012989663482420146
2020-02-15,-1.437012368030845e-05
2020-02-16,0.0003566221887215227
2020-02-17,2.277366445548833e-05
2020-02-18,0.0001455336656025052
2020-02-19,0.00016368277549043295
2020-02-20,0.0001516298590478301
2020-02-21,5.628178482264281e-05
2020-02-22,-2.47900216341017e-06
2020-02-23,0.00020927580304652455
2020-02-24,0.00026387295987479386
2020-02-25,0.00017662429820351303
2020-02-26,0.00012140803988143802
2020-02-27,0.00013366624945878984
2020-02-28,-5.236431331038474e-05
2020-02-29,-2.680692907892166e-05
2020-03-01,0.00013790283693015576
2020-03-02,-3.885547268569469e-05
2020-03-03,-0.00012265672867827116
2020-03-04,-4.7552582852765904e-05
2020-03-05,3.867490657761694e-05
2020-03-06,-0.00013826407020278272
2020-03-07,5.782516572132708e-05
2020-03-08,0.00016269175280183554
2020-03-09,-9.93428393767774e-05
2020-03-10,-8.214999964006243e-05
2020-03-11,0.0001398899455909431
2020-03-12,0.00016226804802484812
2020-03-13,0.0001259005533234775
2020-03-14,3.501047015219928e-05
2020-03-15,2.3176655799597508e-05
2020-03-16,0.00024087920818589628
2020-03-17,-0.00020341080854520204
2020-03-18,0.00010660000671677292
2020-03-19,0.0002886563521643728
2020-03-20,0.00036068363261044026
2020-03-21,0.00010940667687177661
2020-03-22,0.0004803819582287967
2020-03-23,0.00031382041132040317
2020-03-24,0.00022500765531755982
2020-03-25,0.0004315065420092642
2020-03-26,0.000532608807888031
2020-03-27,0.0005989649805612861
2020-03-28,0.0005004972331953794
2020-03-29,0.0006690385239884257
2020-03-30,0.0006468399379727989
2020-03-31,0.0005838660387393087
2020-04-01,0.0006961682879246026
2020-04-02,0.0007897200472207367
2020-04-03,0.0007604871793996542
2020-04-04,0.0007931444379740208
2020-04-05,0.0009334151149778067
2020-04-06,0.0008210875493745506
2020-04-07,0.0007509035343053937
2020-04-08,0.0008021607651566714
2020-04-09,0.0010255401790471377
2020-04-10,0.0010173673488811405
2020-04-11,0.0009636663932487368
2020-04-12,0.0009555048403961957
2020-04-13,0.0008294751087947191
2020-04-14,0.0005702425837860256
2020-04-15,0.0005480941703078151
2020-04-16,0.0005298847613152861
2020-04-17,0.00045380662384599446
2020-04-18,0.00033215341046243906
2020-04-19,0.00041766858795106414
2020-04-20,0.0002529072685090453
2020-04-21,-0.0001942927553921938
2020-04-22,3.399988477699459e-05
2020-04-23,0.0002739652348208427
2020-04-24,0.00010740023567363619
2020-04-25,9.782027296744287e-05
2020-04-26,5.504634362608195e-05
2020-04-27,-0.000293598246043399
2020-04-28,-0.0002973706224690378
2020-04-29,-7.468879096806049e-05
2020-04-30,6.749120424859226e-05
2020-05-01,0.0001081042622422427
2020-05-02,-1.029003770180045e-05
2020-05-03,-4.701081150837242e-05
2020-05-04,-9.654077220685778e-05
2020-05-05,-0.00039649038267210125
2020-05-06,-0.0003202166183367372
2020-05-07,-4.356156463563441e-05
2020-05-08,-5.9963151236400006e-05
2020-05-09,-0.0002225868444053829
2020-05-10,8.053836546935143e-05
2020-05-11,4.046408687978984e-05
2020-05-12,-7.328211872637271e-05
2020-05-13,9.43328213185072e-05
2020-05-14,0.0003536212725959718
2020-05-15,0.00027450884735926985
2020-05-16,0.0001332828208012879
2020-05-17,0.0003981204007468373
2020-05-18,0.0003887171926678717
2020-05-19,0.00013067384885564445
2020-05-20,0.0002780936521427334
2020-05-21,0.00041818320168346163
2020-05-22,0.00022662468397758898
2020-05-23,8.843018339596689e-05
2020-05-24,0.0004066573270329833
2020-05-25,0.00023045275652274492
2020-05-26,0.00015959417398951948
2020-05-27,0.0004006414556773752
2020-05-28,0.00029876519785672427
2020-05-29,8.795952817112208e-05
2020-05-30,6.175841647565366e-05
2020-05-31,5.5243811686187995e-05
2020-06-01,0.0004297330118563771
2020-06-02,-0.0006025183839897067
2020-06-03,-7.102412439338862e-05
2020-06-04,-9.088117189675567e-05
2020-06-05,-0.00048538092912286517
2020-06-06,-0.00040166989163793623
2020-06-07,-0.00020293670108154416
2020-06-08,-0.00014196602095663545
